id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,city
13357665,Marco,75761730,Ismaël,,Regent Park,43.65876,-79.36299,Entire home/apt,,28,0,,,1,0,0,,Toronto
17634748,Sunny Little Portugal Bachelor,91997078,Alyson,,Trinity-Bellwoods,43.6491,-79.42435,Entire home/apt,,28,0,,,1,0,0,,Toronto
11222187,$950 / 1br - LARGE Beautiful Attic,7026784,Stephen,,Palmerston-Little Italy,43.66295,-79.41539,Private room,,28,0,,,1,0,0,,Toronto
1162992165506445917,Sarah’ house,14118463,Natalia,,Wychwood,43.67338,-79.43166,Private room,,30,0,,,4,0,0,,Toronto
28422234,81-05/ private room on the main floor.,139762710,Maggie,,Don Valley Village,43.78915,-79.36581,Private room,,28,0,,,9,0,0,,Toronto
46950364,Comfortable space 2,346583406,Ishak Abubakar Yahya,,Regent Park,43.66251,-79.35753,Entire home/apt,,28,0,,,4,0,0,,Toronto
1075395898601876491,1 furnished bedroom for rent,558168996,Yoga,,Rouge,43.81974406,-79.20521813,Private room,1400,1,0,,,1,269,0,STR-2401-GFPXVS,Toronto
848049427730582324,Cozy private room with amenities,310353628,Tareq,,Flemingdon Park,43.7167449,-79.3312109,Private room,120,28,4,2024-03-31,0.34,2,90,4,STR-2303-GFDVHS,Toronto
1251690611660526596,Home away from home,115629145,Rumana,,Taylor-Massey,43.69165071,-79.29100478,Private room,26,28,0,,,3,342,0,,Toronto
968212260790834713,Cozy Light-Filled New Amenities,534381450,Alexander,,Malvern,43.81030508,-79.22665284,Private room,70,28,0,,,1,269,0,,Toronto
1066654035322408628,happy,555897413,Ning,,Agincourt North,43.80891872,-79.26717869,Private room,48,30,0,,,2,269,0,,Toronto
1268144731066173318,Comfortable 2 bedroom main floor,657290899,Svitlana,,Stonegate-Queensway,43.63210744,-79.50475313,Private room,130,2,0,,,1,268,0,,Toronto
29906990,two bedrooms basement for rent,51291131,Lucy,,Henry Farm,43.77113,-79.35599,Private room,85,28,0,,,2,180,0,STR-2010-GDLXPF,Toronto
784268229075110060,Lovely Master Bedroom in West TO,188109713,Amy,,Dovercourt-Wallace Emerson-Junction,43.65790522,-79.44730603,Private room,105,1,0,,,2,37,0,STR-2310-JFSDVZ,Toronto
45254794,Swansea House,5819395,Chris,,High Park-Swansea,43.64543,-79.47789,Entire home/apt,125,60,1,2020-11-08,0.02,1,329,0,,Toronto
1307973607181960449,Cozy Bedroom and Den Yorkville,346362077,Hawa,,North St.James Town,43.67098,-79.37663,Entire home/apt,180,30,0,,,1,82,0,,Toronto
1114725059918251807,389-24,206663714,Wendy,,York University Heights,43.76572,-79.50344,Private room,35,28,1,2024-04-21,0.11,97,185,1,,Toronto
24267604,Charming Leslieville Stopover,183006461,Kelly,,South Riverdale,43.6602,-79.34743,Private room,79,28,16,2019-08-12,0.2,1,268,0,,Toronto
810196923430083936,Newly renovated modern space room No 3 & furnished,319882486,Md Ezaz,,Malvern,43.80675296,-79.21026169,Private room,65,28,10,2024-12-01,0.5,5,99,6,STR-2010-GDYXPF,Toronto
695144473851962659,"clean room b for 1
guest",310223515,Miwa,,Downsview-Roding-CFB,43.72652,-79.52123,Private room,30,30,0,,,6,365,0,,Toronto
1217691038442980614,"Private ROOM and parking
- One guest only.",189500336,Pedro,,Pelmo Park-Humberlea,43.72401067,-79.53288237,Private room,39,1,0,,,3,43,0,STR-2205-FYVXVD,Toronto
27524110,Private Room  #1 in a Beautiful Bungalow House,207578246,Rachel,,Humbermede,43.74605,-79.55053,Private room,41,28,9,2022-11-30,0.13,2,179,0,,Toronto
1218314577237341468,Cozy Quiet Comfortable.,594834887,Carlene,,Milliken,43.8228272,-79.2751544,Entire home/apt,150,30,0,,,1,357,0,,Toronto
38027828,Luxury Modern Designer Renovated 2bdr Next to Mall,288542938,Sharareh,,Newtonbrook West,43.79508,-79.42799,Entire home/apt,139,3,11,2024-03-05,0.18,1,175,2,STR-2204-JBVVHM,Toronto
950610419312147980,Spacious house for short-term,529842832,Nick,,Mimico (includes Humber Bay Shores),43.62175162,-79.50174584,Entire home/apt,216,28,0,,,1,179,0,,Toronto
1239881700047019358,Charming Suite,190687664,Taiwo,,Humber Summit,43.76166,-79.56741,Entire home/apt,140,28,0,,,1,362,0,,Toronto
659379517807683796,Snug 2 BdRm Pet Friendly Suite  w/free parking,466582503,Mike,,Ionview,43.74082056,-79.27019397,Entire home/apt,186,28,17,2022-09-11,0.56,1,365,0,STR-2206-FKSKVB,Toronto
849998981211579852,Summer in the city!,52790122,Tamara,,Islington-City Centre West,43.622885,-79.52192674,Entire home/apt,140,30,0,,,1,173,0,,Toronto
